"ticker","traded_at","close_price","adj_close_price","open","daily_variation_pct","max_price","min_price","created_at","updated_at"
"SNCI11","2025-10-27 00:00:00","80.80","80.80","80.88","-0.10","81.01","80.20","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HBCR11","2025-10-27 00:00:00","135.50","135.50","135.50","0.00","135.50","135.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CXTL11","2025-10-27 00:00:00","302.04","302.04","302.04","0.00","302.04","302.04","2025-10-28 00:00:00","2025-10-28 00:00:00"
"SNLG11","2025-10-27 00:00:00","1.05","1.05","0.96","9.38","1.20","0.96","2025-10-28 00:00:00","2025-10-28 00:00:00"
"PLAG11","2025-10-27 00:00:00","48.50","48.50","48.72","-0.45","48.74","48.38","2025-10-28 00:00:00","2025-10-28 00:00:00"
"TGAR11","2025-10-27 00:00:00","86.10","86.10","86.13","-0.03","87.04","85.90","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VTLT11","2025-10-27 00:00:00","87.22","87.22","87.43","-0.24","87.43","86.30","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CPSH11","2025-10-27 00:00:00","10.12","10.12","10.13","-0.10","10.14","10.02","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RPRI11","2025-10-27 00:00:00","84.25","84.25","84.35","-0.12","85.04","83.84","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CLIN11","2025-10-27 00:00:00","87.15","87.15","87.59","-0.50","87.72","86.80","2025-10-28 00:00:00","2025-10-28 00:00:00"
"APTO11","2025-10-27 00:00:00","8.41","8.41","8.47","-0.71","8.48","8.35","2025-10-28 00:00:00","2025-10-28 00:00:00"
"PORD11","2025-10-27 00:00:00","8.05","8.05","8.08","-0.37","8.09","8.01","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RZAT11","2025-10-27 00:00:00","87.69","87.69","87.01","0.78","88.01","86.90","2025-10-28 00:00:00","2025-10-28 00:00:00"
"AJFI11","2025-10-27 00:00:00","7.68","7.68","7.65","0.39","7.69","7.64","2025-10-28 00:00:00","2025-10-28 00:00:00"
"EMET11","2025-10-27 00:00:00","10.39","10.39","9.81","5.91","10.39","9.81","2025-10-28 00:00:00","2025-10-28 00:00:00"
"PMLL11","2025-10-27 00:00:00","101.71","101.71","101.99","-0.27","102.50","101.35","2025-10-28 00:00:00","2025-10-28 00:00:00"
"GARE11","2025-10-27 00:00:00","8.94","8.94","8.97","-0.33","8.97","8.92","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RELG11","2025-10-27 00:00:00","64.66","64.66","65.46","-1.22","65.46","64.51","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HUSC11","2025-10-27 00:00:00","93.00","93.00","92.76","0.26","94.96","92.56","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ALZR11","2025-10-27 00:00:00","10.58","10.58","10.63","-0.47","10.64","10.57","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HREC11","2025-10-27 00:00:00","8.48","8.48","8.47","0.12","8.48","8.35","2025-10-28 00:00:00","2025-10-28 00:00:00"
"KNHY11","2025-10-27 00:00:00","99.96","99.96","100.26","-0.30","100.26","99.63","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CPUR11","2025-10-27 00:00:00","10.49","10.49","10.49","0.00","10.50","10.45","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ZAGH11","2025-10-27 00:00:00","10.20","10.20","10.15","0.49","10.44","10.15","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HPDP11","2025-10-27 00:00:00","92.50","92.50","92.14","0.39","98.84","90.01","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BCRI11","2025-10-27 00:00:00","63.50","63.50","63.81","-0.49","63.81","63.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HGPO11","2025-10-27 00:00:00","142.25","142.25","142.99","-0.52","143.00","141.74","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BMLC11","2025-10-27 00:00:00","93.50","93.50","92.68","0.88","93.50","92.66","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BBFO11","2025-10-27 00:00:00","62.16","62.16","62.44","-0.45","62.59","62.15","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BROF11","2025-10-27 00:00:00","52.50","52.50","52.75","-0.47","52.75","51.92","2025-10-28 00:00:00","2025-10-28 00:00:00"
"KIVO11","2025-10-27 00:00:00","62.40","62.40","62.43","-0.05","62.43","61.91","2025-10-28 00:00:00","2025-10-28 00:00:00"
"NEWL11","2025-10-27 00:00:00","103.80","103.80","103.82","-0.02","103.82","102.75","2025-10-28 00:00:00","2025-10-28 00:00:00"
"GTWR11","2025-10-27 00:00:00","76.29","76.29","75.99","0.39","76.48","75.99","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VRTA11","2025-10-27 00:00:00","77.80","77.80","76.98","1.07","77.80","76.52","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FIGS11","2025-10-27 00:00:00","48.00","48.00","47.86","0.29","48.00","47.86","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HOFC11","2025-10-27 00:00:00","28.10","28.10","28.94","-2.90","28.98","28.10","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VGIR11","2025-10-27 00:00:00","9.37","9.37","9.38","-0.11","9.39","9.34","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BLMG11","2025-10-27 00:00:00","33.70","33.70","33.74","-0.12","33.97","33.37","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FYTO11","2025-10-27 00:00:00","7.93","7.93","7.97","-0.50","7.98","7.90","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ITIT11","2025-10-27 00:00:00","68.99","68.99","68.94","0.07","69.50","68.80","2025-10-28 00:00:00","2025-10-28 00:00:00"
"PMIS11","2025-10-27 00:00:00","7.84","7.84","7.79","0.64","7.85","7.79","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BRIM11","2025-10-27 00:00:00","302.61","302.61","322.40","-6.14","328.96","302.61","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FVPQ11","2025-10-27 00:00:00","65.73","65.73","65.50","0.35","65.75","65.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ATSA11","2025-10-27 00:00:00","50.99","50.99","50.11","1.76","50.99","50.11","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HSRE11","2025-10-27 00:00:00","101.49","101.49","101.50","-0.01","101.50","100.18","2025-10-28 00:00:00","2025-10-28 00:00:00"
"SHOP11","2025-10-27 00:00:00","35.00","35.00","34.88","0.34","35.00","34.88","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBRS11","2025-10-27 00:00:00","43.63","43.63","43.63","0.00","43.63","43.63","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RZLC11","2025-10-27 00:00:00","1011.38","1011.38","1011.36","0.00","1011.38","1011.36","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VSHO11","2025-10-27 00:00:00","73.23","73.23","73.10","0.18","73.23","73.10","2025-10-28 00:00:00","2025-10-28 00:00:00"
"XPIN11","2025-10-27 00:00:00","74.01","74.01","74.60","-0.79","74.62","74.01","2025-10-28 00:00:00","2025-10-28 00:00:00"
"LASC11","2025-10-27 00:00:00","101.00","101.00","100.01","0.99","101.00","99.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"MCEM11","2025-10-27 00:00:00","65.77","65.77","65.76","0.02","65.77","65.76","2025-10-28 00:00:00","2025-10-28 00:00:00"
"PQDP11","2025-10-27 00:00:00","2325.60","2325.60","2346.99","-0.91","2346.99","2325.01","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HSML11","2025-10-27 00:00:00","85.50","85.50","85.31","0.22","85.69","84.71","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FIIP11","2025-10-27 00:00:00","151.90","151.90","154.44","-1.64","154.44","150.10","2025-10-28 00:00:00","2025-10-28 00:00:00"
"SNFF11","2025-10-27 00:00:00","69.60","69.60","70.35","-1.07","70.45","69.40","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VGHF11","2025-10-27 00:00:00","7.56","7.56","7.62","-0.79","7.62","7.54","2025-10-28 00:00:00","2025-10-28 00:00:00"
"DAMT11","2025-10-27 00:00:00","13.00","13.00","9.01","44.28","13.00","9.01","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ARRI11","2025-10-27 00:00:00","6.54","6.54","6.52","0.31","6.55","6.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"SNME11","2025-10-27 00:00:00","9.30","9.30","9.38","-0.85","9.55","9.26","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CPLG11","2025-10-27 00:00:00","12.37","12.37","12.39","-0.16","12.39","12.16","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CXCI11","2025-10-27 00:00:00","66.02","66.02","66.19","-0.26","66.53","65.53","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBRY11","2025-10-27 00:00:00","95.00","95.00","95.29","-0.30","95.31","94.92","2025-10-28 00:00:00","2025-10-28 00:00:00"
"WHGR11","2025-10-27 00:00:00","8.95","8.95","8.88","0.79","9.02","8.84","2025-10-28 00:00:00","2025-10-28 00:00:00"
"OULG11","2025-10-27 00:00:00","40.85","40.85","40.10","1.87","41.76","40.10","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RECR11","2025-10-27 00:00:00","77.34","77.34","77.34","0.00","77.80","76.96","2025-10-28 00:00:00","2025-10-28 00:00:00"
"JPPA11","2025-10-27 00:00:00","78.14","78.14","78.50","-0.46","78.80","78.07","2025-10-28 00:00:00","2025-10-28 00:00:00"
"JCCJ11","2025-10-27 00:00:00","156.50","156.50","157.90","-0.89","157.90","156.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBRP11","2025-10-27 00:00:00","51.54","51.54","51.30","0.47","51.54","51.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RECD11","2025-10-27 00:00:00","8.30","8.30","8.30","0.00","8.30","8.30","2025-10-28 00:00:00","2025-10-28 00:00:00"
"PQAG11","2025-10-27 00:00:00","55.18","55.18","54.74","0.80","55.18","54.74","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FLCR11","2025-10-27 00:00:00","95.19","95.19","95.54","-0.37","95.55","94.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BRIP11","2025-10-27 00:00:00","600.00","600.00","610.00","-1.64","629.98","600.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"AIEC11","2025-10-27 00:00:00","52.35","52.35","51.86","0.94","53.89","51.85","2025-10-28 00:00:00","2025-10-28 00:00:00"
"WSEC11","2025-10-27 00:00:00","2.25","2.25","2.33","-3.43","2.50","2.21","2025-10-28 00:00:00","2025-10-28 00:00:00"
"SAPI11","2025-10-27 00:00:00","8.88","8.88","8.84","0.45","8.88","8.80","2025-10-28 00:00:00","2025-10-28 00:00:00"
"MAXR11","2025-10-27 00:00:00","64.65","64.65","64.63","0.03","64.70","64.12","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FAED11","2025-10-27 00:00:00","146.21","146.21","146.00","0.14","148.34","146.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"LIFE11","2025-10-27 00:00:00","8.19","8.19","8.19","0.00","8.20","8.15","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ITRI11","2025-10-27 00:00:00","78.40","78.40","78.67","-0.34","79.04","78.36","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BBRC11","2025-10-27 00:00:00","98.50","98.50","98.78","-0.28","98.85","97.80","2025-10-28 00:00:00","2025-10-28 00:00:00"
"KCRE11","2025-10-27 00:00:00","8.46","8.46","8.49","-0.35","8.49","8.42","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CXRI11","2025-10-27 00:00:00","63.00","63.00","61.71","2.09","63.12","61.71","2025-10-28 00:00:00","2025-10-28 00:00:00"
"DEVA11","2025-10-27 00:00:00","25.10","25.10","25.07","0.12","25.10","24.95","2025-10-28 00:00:00","2025-10-28 00:00:00"
"TMPS11","2025-10-27 00:00:00","81.25","81.25","80.89","0.45","82.30","80.81","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FIIB11","2025-10-27 00:00:00","495.46","495.46","496.00","-0.11","496.50","494.99","2025-10-28 00:00:00","2025-10-28 00:00:00"
"XPSF11","2025-10-27 00:00:00","6.16","6.16","6.18","-0.32","6.24","6.16","2025-10-28 00:00:00","2025-10-28 00:00:00"
"XPCI11","2025-10-27 00:00:00","84.01","84.01","83.95","0.07","84.38","83.80","2025-10-28 00:00:00","2025-10-28 00:00:00"
"APXM11","2025-10-27 00:00:00","74.50","74.50","76.90","-3.12","76.90","74.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VPPR11","2025-10-27 00:00:00","14.80","14.80","14.71","0.61","14.80","14.70","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HCHG11","2025-10-27 00:00:00","77.91","77.91","79.19","-1.62","79.19","77.91","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FPAB11","2025-10-27 00:00:00","225.50","225.50","203.99","10.54","225.50","202.51","2025-10-28 00:00:00","2025-10-28 00:00:00"
"TOPP11","2025-10-27 00:00:00","69.00","69.00","68.90","0.15","69.59","68.70","2025-10-28 00:00:00","2025-10-28 00:00:00"
"MCRE11","2025-10-27 00:00:00","8.76","8.76","8.71","0.57","8.78","8.70","2025-10-28 00:00:00","2025-10-28 00:00:00"
"TRBL11","2025-10-27 00:00:00","63.50","63.50","63.08","0.67","63.62","62.55","2025-10-28 00:00:00","2025-10-28 00:00:00"
"KNHF11","2025-10-27 00:00:00","93.17","93.17","93.59","-0.45","93.78","92.59","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FLMA11","2025-10-27 00:00:00","144.52","144.52","145.76","-0.85","146.56","144.05","2025-10-28 00:00:00","2025-10-28 00:00:00"
"PATL11","2025-10-27 00:00:00","60.63","60.63","60.30","0.55","60.96","60.14","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VXXV11","2025-10-27 00:00:00","683.00","683.00","683.00","0.00","683.00","683.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"EXES11","2025-10-27 00:00:00","9.69","9.69","9.70","-0.10","9.70","9.65","2025-10-28 00:00:00","2025-10-28 00:00:00"
"TJKB11","2025-10-27 00:00:00","248.00","248.00","248.25","-0.10","248.25","248.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CACR11","2025-10-27 00:00:00","77.50","77.50","76.50","1.31","77.60","76.02","2025-10-28 00:00:00","2025-10-28 00:00:00"
"IBBP11","2025-10-27 00:00:00","8.05","8.05","8.05","0.00","8.05","8.05","2025-10-28 00:00:00","2025-10-28 00:00:00"
"KNUQ11","2025-10-27 00:00:00","104.27","104.27","104.13","0.13","104.35","103.82","2025-10-28 00:00:00","2025-10-28 00:00:00"
"GSFI11","2025-10-27 00:00:00","9.50","9.50","9.48","0.21","9.50","9.10","2025-10-28 00:00:00","2025-10-28 00:00:00"
"JFLL11","2025-10-27 00:00:00","69.10","69.10","68.75","0.51","69.10","68.65","2025-10-28 00:00:00","2025-10-28 00:00:00"
"INLG11","2025-10-27 00:00:00","74.08","74.08","74.06","0.03","74.69","73.97","2025-10-28 00:00:00","2025-10-28 00:00:00"
"GAME11","2025-10-27 00:00:00","8.40","8.40","8.47","-0.83","8.47","8.39","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ZAVC11","2025-10-27 00:00:00","9.18","9.18","9.15","0.33","9.65","9.15","2025-10-28 00:00:00","2025-10-28 00:00:00"
"XPML11","2025-10-27 00:00:00","105.28","105.28","104.69","0.56","105.37","104.59","2025-10-28 00:00:00","2025-10-28 00:00:00"
"EGYR11","2025-10-27 00:00:00","3.09","3.09","3.14","-1.59","3.14","2.90","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CEOC11","2025-10-27 00:00:00","43.80","43.80","43.63","0.39","44.10","43.63","2025-10-28 00:00:00","2025-10-28 00:00:00"
"GFDL11","2025-10-27 00:00:00","107.53","107.53","107.53","0.00","107.53","107.53","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RINV11","2025-10-27 00:00:00","102.97","102.97","102.92","0.05","102.99","94.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BLUE11","2025-10-27 00:00:00","218.99","218.99","218.99","0.00","218.99","218.99","2025-10-28 00:00:00","2025-10-28 00:00:00"
"EURO11","2025-10-27 00:00:00","276.00","276.00","266.01","3.76","276.00","266.01","2025-10-28 00:00:00","2025-10-28 00:00:00"
"SPXS11","2025-10-27 00:00:00","8.43","8.43","8.44","-0.12","8.45","8.39","2025-10-28 00:00:00","2025-10-28 00:00:00"
"EDGA11","2025-10-27 00:00:00","14.90","14.90","15.00","-0.67","15.00","14.85","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BCIA11","2025-10-27 00:00:00","84.00","84.00","84.43","-0.51","84.43","83.66","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VVCO11","2025-10-27 00:00:00","14.79","14.79","14.79","0.00","14.80","14.79","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VOTS11","2025-10-27 00:00:00","77.15","77.15","77.09","0.08","77.15","74.61","2025-10-28 00:00:00","2025-10-28 00:00:00"
"SMRE11","2025-10-27 00:00:00","78.51","78.51","78.70","-0.24","78.80","78.10","2025-10-28 00:00:00","2025-10-28 00:00:00"
"GLPF11","2025-10-27 00:00:00","105.67","105.67","105.67","0.00","105.67","105.67","2025-10-28 00:00:00","2025-10-28 00:00:00"
"DVFF11","2025-10-27 00:00:00","5.77","5.77","5.80","-0.52","5.81","5.73","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HGIC11","2025-10-27 00:00:00","63.02","63.02","62.64","0.61","65.00","62.64","2025-10-28 00:00:00","2025-10-28 00:00:00"
"INRD11","2025-10-27 00:00:00","75.98","75.98","77.09","-1.44","77.09","74.37","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CCME11","2025-10-27 00:00:00","8.66","8.66","8.75","-1.03","8.75","8.66","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CXCE11","2025-10-27 00:00:00","40.50","40.50","40.76","-0.64","40.76","40.40","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FLRP11","2025-10-27 00:00:00","20.79","20.79","20.53","1.27","20.80","20.33","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HTMX11","2025-10-27 00:00:00","138.78","138.78","138.55","0.17","138.92","138.20","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BTRA11","2025-10-27 00:00:00","58.17","58.17","57.09","1.89","58.45","56.15","2025-10-28 00:00:00","2025-10-28 00:00:00"
"KNRI11","2025-10-27 00:00:00","146.85","146.85","145.47","0.95","146.85","145.47","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RENV11","2025-10-27 00:00:00","5.40","5.40","5.80","-6.90","5.80","5.36","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FMOF11","2025-10-27 00:00:00","42.00","42.00","42.40","-0.94","42.40","42.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"PVBI11","2025-10-27 00:00:00","74.57","74.57","74.99","-0.56","75.75","74.30","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RECM11","2025-10-27 00:00:00","8.30","8.30","8.39","-1.07","8.40","8.26","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HAAA11","2025-10-27 00:00:00","48.03","48.03","48.03","0.00","48.03","48.03","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CBOP11","2025-10-27 00:00:00","31.98","31.98","32.00","-0.06","32.00","29.40","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBIR11","2025-10-27 00:00:00","92.19","92.19","93.88","-1.80","93.88","92.07","2025-10-28 00:00:00","2025-10-28 00:00:00"
"SPTW11","2025-10-27 00:00:00","35.60","35.60","35.59","0.03","35.60","35.04","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VCRR11","2025-10-27 00:00:00","68.98","68.98","67.09","2.82","68.99","66.95","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CRFF11","2025-10-27 00:00:00","74.80","74.80","74.01","1.07","74.80","72.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HGLG11","2025-10-27 00:00:00","158.51","158.51","159.45","-0.59","159.97","158.30","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RNGO11","2025-10-27 00:00:00","51.14","51.14","51.65","-0.99","51.65","51.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VIUR11","2025-10-27 00:00:00","5.74","5.74","5.65","1.59","5.74","5.60","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBRR11","2025-10-27 00:00:00","84.80","84.80","84.64","0.19","85.48","84.58","2025-10-28 00:00:00","2025-10-28 00:00:00"
"MANA11","2025-10-27 00:00:00","8.88","8.88","8.92","-0.45","8.96","8.87","2025-10-28 00:00:00","2025-10-28 00:00:00"
"IBCR11","2025-10-27 00:00:00","47.85","47.85","47.64","0.44","47.86","47.53","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RDLI11","2025-10-27 00:00:00","104.50","104.50","105.00","-0.48","105.00","104.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BTCI11","2025-10-27 00:00:00","9.33","9.33","9.32","0.11","9.33","9.30","2025-10-28 00:00:00","2025-10-28 00:00:00"
"KFOF11","2025-10-27 00:00:00","81.20","81.20","81.40","-0.25","81.40","80.91","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VSLH11","2025-10-27 00:00:00","2.51","2.51","2.52","-0.40","2.52","2.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CTXT11","2025-10-27 00:00:00","4.97","4.97","4.71","5.52","4.97","4.71","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CNES11","2025-10-27 00:00:00","1.55","1.55","1.31","18.32","1.55","1.31","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RZAK11","2025-10-27 00:00:00","81.87","81.87","81.68","0.23","81.88","81.17","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBHY11","2025-10-27 00:00:00","75.58","75.58","76.16","-0.76","76.93","75.18","2025-10-28 00:00:00","2025-10-28 00:00:00"
"TELM11","2025-10-27 00:00:00","10.50","10.50","10.50","0.00","10.50","10.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BBIG11","2025-10-27 00:00:00","6.98","6.98","6.94","0.58","7.00","6.91","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VGIP11","2025-10-27 00:00:00","75.80","75.80","76.20","-0.52","76.21","75.25","2025-10-28 00:00:00","2025-10-28 00:00:00"
"SHPH11","2025-10-27 00:00:00","915.98","915.98","900.01","1.77","929.97","900.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBRX11","2025-10-27 00:00:00","7.69","7.69","7.66","0.39","7.69","7.59","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ARXD11","2025-10-27 00:00:00","7.46","7.46","7.61","-1.97","7.63","7.46","2025-10-28 00:00:00","2025-10-28 00:00:00"
"JSCR11","2025-10-27 00:00:00","8.02","8.02","8.00","0.25","8.03","8.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FISC11","2025-10-27 00:00:00","65.00","65.00","65.00","0.00","65.00","65.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"AFHI11","2025-10-27 00:00:00","94.33","94.33","94.50","-0.18","94.50","94.11","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BSLT11","2025-10-27 00:00:00","98.20","98.20","92.01","6.73","98.82","92.01","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBRL11","2025-10-27 00:00:00","85.81","85.81","86.19","-0.44","86.35","85.49","2025-10-28 00:00:00","2025-10-28 00:00:00"
"CJCT11","2025-10-27 00:00:00","60.84","60.84","60.86","-0.03","61.00","58.95","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HGRU11","2025-10-27 00:00:00","126.54","126.54","126.61","-0.06","126.82","126.51","2025-10-28 00:00:00","2025-10-28 00:00:00"
"FIVN11","2025-10-27 00:00:00","4.58","4.58","4.80","-4.58","5.05","4.58","2025-10-28 00:00:00","2025-10-28 00:00:00"
"IRIM11","2025-10-27 00:00:00","71.89","71.89","70.81","1.53","71.95","70.81","2025-10-28 00:00:00","2025-10-28 00:00:00"
"KISU11","2025-10-27 00:00:00","6.76","6.76","6.82","-0.88","6.82","6.72","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RZTR11","2025-10-27 00:00:00","92.30","92.30","92.33","-0.03","92.84","92.26","2025-10-28 00:00:00","2025-10-28 00:00:00"
"TORD11","2025-10-27 00:00:00","3.07","3.07","3.06","0.33","3.08","3.06","2025-10-28 00:00:00","2025-10-28 00:00:00"
"DAYM11","2025-10-27 00:00:00","3.94","3.94","3.96","-0.51","3.96","3.94","2025-10-28 00:00:00","2025-10-28 00:00:00"
"URHF11","2025-10-27 00:00:00","74.50","74.50","74.50","0.00","75.99","74.50","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBHG11","2025-10-27 00:00:00","63.77","63.77","63.45","0.50","63.86","63.07","2025-10-28 00:00:00","2025-10-28 00:00:00"
"NEWU11","2025-10-27 00:00:00","98.93","98.93","97.96","0.99","98.93","97.96","2025-10-28 00:00:00","2025-10-28 00:00:00"
"AZPL11","2025-10-27 00:00:00","7.64","7.64","7.69","-0.65","7.69","7.57","2025-10-28 00:00:00","2025-10-28 00:00:00"
"LVBI11","2025-10-27 00:00:00","107.80","107.80","107.98","-0.17","108.37","106.77","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HGBS11","2025-10-27 00:00:00","20.00","20.00","20.00","0.00","20.15","19.96","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ALZC11","2025-10-27 00:00:00","7.54","7.54","7.60","-0.79","7.60","7.51","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VVMR11","2025-10-27 00:00:00","84.98","84.98","84.52","0.54","84.98","84.52","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BTHF11","2025-10-27 00:00:00","8.47","8.47","8.42","0.59","8.47","8.38","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BTHI11","2025-10-27 00:00:00","41.90","41.90","41.99","-0.21","42.00","41.55","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HUCG11","2025-10-27 00:00:00","85.00","85.00","86.98","-2.28","86.98","85.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RMAI11","2025-10-27 00:00:00","60.38","60.38","54.52","10.75","60.38","54.51","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RECT11","2025-10-27 00:00:00","34.16","34.16","33.66","1.49","34.19","33.59","2025-10-28 00:00:00","2025-10-28 00:00:00"
"WTSP11","2025-10-27 00:00:00","60.00","60.00","50.00","20.00","60.00","50.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HGBL11","2025-10-27 00:00:00","8.87","8.87","8.94","-0.78","8.94","8.78","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BBFI11","2025-10-27 00:00:00","362.70","362.70","363.00","-0.08","365.00","358.00","2025-10-28 00:00:00","2025-10-28 00:00:00"
"VCRI11","2025-10-27 00:00:00","7.12","7.12","7.14","-0.28","7.20","7.10","2025-10-28 00:00:00","2025-10-28 00:00:00"
"RBFF11","2025-10-27 00:00:00","49.10","49.10","49.00","0.20","49.35","48.90","2025-10-28 00:00:00","2025-10-28 00:00:00"
"HOMS11","2025-10-27 00:00:00","118.41","118.41","118.41","0.00","118.41","118.41","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ITIP11","2025-10-27 00:00:00","65.18","65.18","65.87","-1.05","65.87","64.83","2025-10-28 00:00:00","2025-10-28 00:00:00"
